,Bootstrap_nr,Current_position,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy
0,0,Current_position_4.0,-8.940018394269306e-05,0.0001511962825204194,0.0026014496173370847,-0.0009648837799650826,-0.0009761589282686076,-0.00014237534842125894,6.53512353080526e-05
1,0,Current_position_5.0,-0.0002534986252899471,-0.0003446701943850647,0.00475237258026839,-0.003037286243633477,-0.0004006806816961702,-0.0002247207961746205,0.0003241744484556098
2,0,Current_position_6.0,-0.00037925199096891374,0.0005162213046308917,0.005479081614422656,-0.003112987213245824,-0.00033312469899759897,-0.0005240455450264747,0.0009126907232895177
3,1,Current_position_4.0,-0.0005172526813838105,0.00018845370672397933,0.0018128939860775973,0.0009560011407462609,-0.0015265978583394763,1.226759926249657e-05,-0.00019393053913002785
4,1,Current_position_5.0,-0.0013185353505630935,0.00016856358611352582,0.0037223290921949244,-0.0008347698202267594,-0.0006775025338837982,7.143592978641619e-05,-0.0003018059394068997
5,1,Current_position_6.0,-0.001864316634612579,0.0006388747782448892,0.006143737099614741,-0.0011757109365372776,-0.001099871594819228,0.0004577007826300935,-0.00098229419124546
6,2,Current_position_4.0,-0.0008863324598961845,-2.047006699264976e-05,0.0027933596562678613,-0.00025783502473733104,6.385657953493998e-05,-0.00015971784815993717,6.59982687459412e-05
7,2,Current_position_5.0,-0.002526994427245476,-5.738058537266962e-06,0.005772980810413231,-0.0008360096309344878,-1.057717392593599e-05,-0.00025236005696015754,-7.732154209124505e-05
8,2,Current_position_6.0,-0.003675370069126461,-3.4204764426572524e-05,0.010976584341609558,-0.0010173475777728329,3.5644043740965894e-06,-0.0007742318569561728,-0.00035676690915195544
9,3,Current_position_4.0,-0.0013875921156093905,-0.00043045318938594987,0.0027747083342790266,-0.001798936025467114,-0.00040857440867578986,0.00019765244025530198,6.897281123338515e-06
10,3,Current_position_5.0,-0.0037945718878818766,-0.0010690419557753217,0.006414273771754128,-0.004131077254061285,0.00034738922643561866,0.00025262047162390985,1.1592761943396815e-05
11,3,Current_position_6.0,-0.004393313074165113,-0.00029364191576966423,0.007376179016406065,-0.004384134379186793,-0.0005369255415625104,0.00047604153268398575,1.61989729789969e-05
12,4,Current_position_4.0,-0.0007865386565205119,0.00031500337352664685,0.0011278338990397987,-0.000299939254830186,-0.0008330949594208282,-0.00021765134187815254,0.0005489549673091986
13,4,Current_position_5.0,-0.0025527120997565333,0.0002054927554318739,0.003046674312011899,-0.002170470401933372,-0.0001108080802333624,-0.000693435792128554,0.0010703883580739388
14,4,Current_position_6.0,-0.003474538059144281,-0.00011277257056224522,0.00464435472727725,-0.003868599902926178,-0.0002521945444373858,-0.0010524096251184989,0.0016271976704181385
15,5,Current_position_4.0,-0.0011324175934396999,0.00011770951311516054,0.000600901725887257,7.007307633091008e-05,0.0018547960656578749,-4.7206199691330666e-05,-0.0005812366048551193
16,5,Current_position_5.0,-0.003487942079070926,-9.70049438079668e-05,0.0025434146587670773,-0.0009020959105865263,0.0010495286875019994,-9.877666281493e-05,-0.0006840148149949585
17,5,Current_position_6.0,-0.005751178506994406,-0.00010128124638261439,0.0037137061139065324,-0.0015655164661985664,0.0008132036177582486,0.00046049107272461614,0.0019363839746005824
18,6,Current_position_4.0,-0.00018816590805208213,0.0003416688633263318,0.0009548552244397962,-0.00032254024897835373,-0.00018006915006819408,-5.55392121605208e-05,8.463190278077297e-05
19,6,Current_position_5.0,-0.0005410887623097493,-0.00015690803051975364,0.0029104060102031017,-0.0022745815974284946,1.1365530030684636e-05,-9.822857068521971e-05,6.962092720402447e-05
20,6,Current_position_6.0,-0.0007965734757528839,0.0003899572335755924,0.00366088306655949,-0.0041392129211109685,0.0001869592959033882,-0.00033738781545191766,0.0003300588094595336
21,7,Current_position_4.0,-0.00015887317094292653,3.954185149521711e-05,0.001061553171929071,-2.8150418905233255e-05,0.00010246121074455166,0.00027821646894622367,-3.0465251315765762e-05
22,7,Current_position_5.0,-0.0004963615203143798,-0.00015816849845868227,0.0018875993594149717,5.9809305209075227e-05,2.3669800363444577e-05,7.646315113712115e-05,-4.8141784204670716e-05
23,7,Current_position_6.0,-0.0006361589418722976,-3.4574633277612476e-05,0.0017449902764902633,9.036487409456377e-05,-1.1478451892214558e-05,0.0008163295521803881,-0.0001226321401318124
24,8,Current_position_4.0,-0.0017523612842648129,7.490137804719964e-05,0.00043864570298457017,-0.00047054662607857805,-0.00017288523646993837,5.162180830495778e-06,9.93118447411227e-05
25,8,Current_position_5.0,-0.004747728324004255,5.5080597335194736e-05,0.0012622842567392616,-0.00176794618797173,0.00018378101619767625,2.0263244324962015e-05,0.00015778193438889654
26,8,Current_position_6.0,-0.006237427344159602,0.0001938104943256938,0.0015135850553132197,-0.0024164395915741792,0.00017426388949954956,-7.974749711176986e-05,0.001171896957464725
27,9,Current_position_4.0,-0.0004910859321988317,0.00023216849976786483,0.001819751843526747,-5.802915994861264e-05,0.00010607459016326963,0.0011729913131674641,-0.0006313958355302002
28,9,Current_position_5.0,-0.0013157734694266847,9.057981205269809e-06,0.003670117710228053,-0.0010689521481876488,3.9475809700995e-05,0.0011562305084970104,-0.0009259387495418913
29,9,Current_position_6.0,-0.0018511819660379381,0.0002747665009324894,0.006153237717565908,-0.0008311576842480225,0.00010112287649472604,0.002016443162959602,-0.0026431397469767574
30,10,Current_position_4.0,-0.0013271786497020045,0.00025866141513281623,0.0016414241386394908,-0.0004508386818364822,7.565342141941469e-06,6.307501194160026e-05,-2.3641095481532063e-05
31,10,Current_position_5.0,-0.0027607209004123813,0.000102106534553957,0.0030189756425812084,-0.0020325824939729713,-0.00011146975511471658,2.2051160470959393e-05,2.4189351184894867e-05
32,10,Current_position_6.0,-0.004791068244423046,0.00025018012859260886,0.005069328323878624,-0.0028695464082616083,-0.00013858069630672107,0.00017417569035886889,-9.97344299450169e-05
33,11,Current_position_4.0,-0.0018049221447977467,-0.0001797501307426032,0.005295774687814875,-2.2791898111511066e-06,0.000499796618908751,0.0007114803602126211,-0.0010706498549042551
34,11,Current_position_5.0,-0.0048444575105553835,-7.423862577844142e-05,0.00911073338412114,-0.0004250317669268974,0.0002530095253729846,0.0011925065221804704,-0.0015087009193419944
35,11,Current_position_6.0,-0.007170308918409847,-8.542880123118757e-05,0.013332319164116587,-0.0007468185590694352,0.00023213941553287752,0.003539518813338856,-0.004523970576536161
36,12,Current_position_4.0,-0.0007440870506323629,0.0003238955632901816,0.0011730667645184756,0.00030794020122334645,-0.00016584511637739952,-0.00044683918978215926,0.0004108934995905032
